Accession,Description,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Modifications
Q29RW1,Myosin-4 OS=Rattus norvegicus OX=10116 GN=Myh4 PE=1 SV=1,41,91,394,52,1,1939,222.7,5.74,1190.45,91,Oxidation [P82; K366; P735; K1110; K1169; K1525; K1733; K1775]
P02564,Myosin-7 OS=Rattus norvegicus OX=10116 GN=Myh7 PE=1 SV=2,25,51,157,10,1,1935,222.9,5.82,440.89,51,Oxidation [K991; K1771]
P02563,Myosin-6 OS=Rattus norvegicus OX=10116 GN=Myh6 PE=1 SV=2,21,43,148,4,1,1938,223.4,5.74,406.27,43,Oxidation [P682; K1772]
P12847,Myosin-3 OS=Rattus norvegicus OX=10116 GN=Myh3 PE=3 SV=1,16,35,144,6,1,1940,223.7,5.83,372.31,35,Oxidation [K73; K364; P732; K1772]
P68136,"Actin, alpha skeletal muscle OS=Rattus norvegicus OX=10116 GN=Acta1 PE=1 SV=1",54,26,135,3,1,377,42,5.39,342.89,26,Oxidation [K52; P72; K86; K317; P324; K328]
P63269,"Actin, gamma-enteric smooth muscle OS=Rattus norvegicus OX=10116 GN=Actg2 PE=2 SV=1",49,26,135,3,1,376,41.9,5.48,338.48,26,Oxidation [K19; P28; K51; P71; K85; K316; P323; K327; P361]
P62738,"Actin, aortic smooth muscle OS=Rattus norvegicus OX=10116 GN=Acta2 PE=2 SV=1",49,25,134,0,0,377,42,5.39,335.5,25,Oxidation [K20; P29; K52; P72; K86; K317; P324; K328]
P68035,"Actin, alpha cardiac muscle 1 OS=Rattus norvegicus OX=10116 GN=Actc1 PE=2 SV=1",49,24,133,1,1,377,42,5.39,333.18,24,Oxidation [K52; P72; K86; K317; P324; K328]
P60711,"Actin, cytoplasmic 1 OS=Rattus norvegicus OX=10116 GN=Actb PE=1 SV=1",29,16,109,1,1,375,41.7,5.48,263.84,16,Oxidation [K50; K315; P322; K326]
P63259,"Actin, cytoplasmic 2 OS=Rattus norvegicus OX=10116 GN=Actg1 PE=1 SV=1",29,16,109,1,1,375,41.8,5.48,263.84,16,Oxidation [K50; K315; P322; K326]
P02454,Collagen alpha-1(I) chain OS=Rattus norvegicus OX=10116 GN=Col1a1 PE=1 SV=5,42,35,103,34,1,1453,137.9,5.92,268.52,35,Oxidation [P169; P172; K275; P302; P304; P305; P322; P325; P328; P331; P332; P335; P362; K386; P392; P398; P401; P416; P440; P485; P493; K494; P496; P503; P512; P518; P524; P533; P536; P572; P574; K575; P592; P593; P680; P682; P728; P763; P767; P775; P829; P830; P832; P860; P866; P877; P883; P884; P908; P913; P914; P916; P931; P935; P938; P962; P965; K973; P988; P991; P992; K1022; P1034; P1037; P1040; P1109; P1112; P1115]
P02466,Collagen alpha-2(I) chain OS=Rattus norvegicus OX=10116 GN=Col1a2 PE=1 SV=3,31,33,80,33,1,1372,129.5,9.33,192.34,33,Oxidation [P248; P251; P254; P260; K270; P279; P281; P299; P302; P303; P306; P321; P327; P330; P336; P390; P393; P398; P414; P425; P447; P450; P455; P459; P462; P477; P483; P501; P582; P588; P644; P648; P675; P788; P789; P795; P806; P812; P813; P845; P846; P902; P908; P909; P957; P962; P969; K980; P987; P989]
P04462,Myosin-8 (Fragment) OS=Rattus norvegicus OX=10116 GN=Myh8 PE=2 SV=1,42,11,43,2,1,257,29.8,6.84,117.72,11,Oxidation [K94]
P13941,Collagen alpha-1(III) chain OS=Rattus norvegicus OX=10116 GN=Col3a1 PE=2 SV=3,26,21,40,20,1,1463,138.9,6.52,93.77,21,Oxidation [P417; P424; P538; P574; P580; P598; P601; P604; P606; K609; K628; P679; P684; P685; P691; P699; P700; P702; K706; P745; P771; P775; P811; P814; P820; P838; P843; P844; P852; P853; P934; P939; P940; P961; P964; P966; P1048; P1050; P1051; P1075; P1077; P1437]
Q64578,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 OS=Rattus norvegicus OX=10116 GN=Atp2a1 PE=1 SV=1,22,21,39,21,1,994,109.3,5.22,125.78,21,
